"alternate_url","created_at","has_test","id","name"
"https://hh.ru/vacancy/49557719","2021-11-20T23:02:59+0300",false,"49557719","Data Scientist (компьютерное зрение)"
"https://hh.ru/vacancy/49567634","2021-11-21T10:30:39+0300",false,"49567634","Data scientist"
"https://hh.ru/vacancy/49458953","2021-11-21T11:48:41+0300",false,"49458953","Специалист / data scientist (big data, прогностическая аналитика, data mining)"
"https://hh.ru/vacancy/49747618","2021-11-21T12:02:38+0300",false,"49747618","Data scientist"
"https://hh.ru/vacancy/49120147","2021-11-21T15:04:18+0300",false,"49120147","Data Scientist (Remote)"
"https://hh.ru/vacancy/49588659","2021-11-21T17:26:05+0300",false,"49588659","Data Scientist"
"https://hh.ru/vacancy/48969689","2021-11-22T09:31:06+0300",false,"48969689","Data Scientist"
"https://hh.ru/vacancy/49821351","2021-11-22T10:12:31+0300",false,"49821351","Data Scientist (NLP)"
"https://hh.ru/vacancy/49833644","2021-11-22T13:02:31+0300",false,"49833644","Data Scientist"
"https://hh.ru/vacancy/49833845","2021-11-22T13:06:31+0300",false,"49833845","Стажер Data scientist"
"https://hh.ru/vacancy/49835800","2021-11-22T13:38:58+0300",false,"49835800","Data Scientist"
"https://hh.ru/vacancy/47752047","2021-11-22T14:45:52+0300",false,"47752047","Data scientist"
"https://hh.ru/vacancy/47865356","2021-11-22T14:45:52+0300",false,"47865356","Data scientist"
"https://hh.ru/vacancy/49257601","2021-11-22T17:25:36+0300",false,"49257601","Data Scientist (RecSys)"
"https://hh.ru/vacancy/49298088","2021-11-22T18:24:01+0300",false,"49298088","Data Scientist (Computer Vision) - Junior"
"https://hh.ru/vacancy/49691966","2021-11-22T19:18:45+0300",false,"49691966","Аналитик данных / Data Scientist"
"https://hh.ru/vacancy/49423067","2021-11-23T13:12:32+0300",false,"49423067","Data Scientist"
"https://hh.ru/vacancy/49423146","2021-11-23T13:14:11+0300",false,"49423146","Data Scientist"
"https://hh.ru/vacancy/48378779","2021-11-23T17:22:44+0300",false,"48378779","Senior Data Scientist"
"https://hh.ru/vacancy/49891459","2021-11-23T19:40:16+0300",false,"49891459","Data Scientist"
